1,"Most headaches are caused by tension, stress, sinus infection, allergy, and/or fatigue. They tend to worsen as the day goes on and will go away with an over-the- counter medication or rest. But if you should ever get a sudden, severe headache that you might consider the worst headache of your life, keep in mind that this is the common initial symptom of a potential hemorrhage.The headache often comes on during physical exertion.Again, this event is a medical emergency.In addition, if a friend or family member complains of a new severe headache and then becomes sleepy or difficult to awaken, it may also be a hemorrhage in the brain and a medical emergency.
Subarachnoid hemorrhage is a medical term for bleeding around the brain into a compartment known as the subarachnoid space. Your skull, which acts like a tight-fitting helmet that protects your brain, does not allow room for the blood that accumulates during a hemorrhage. This results in increased pressure on your
brain.
If the subarachnoid hemorrhage is significant, the blood continues to accumulate in the skull, pushing the soft brain tissue aside. Because the brain has the consisttency of a ripe strawberry, this action can result in serious damage.
A subarachnoid hemorrhage usually results from an aneurysm in the brain. Aneurysms (weakened areas on the walls of arteries) may be congenital (that is, you are born with the artery defect) or they may be acquired, such as after a serious injury to the head. They may also be the result of cocaine or amphetamine abuse. The symptoms of hemorrhage in the brain include a severe headache, vomiting, dizziness, seizures, blackouts, sleepiness, slurred speech, double vision, unequal pupil size, and/or mental confusion. Often only the severe headache is present, which sometimes may improve briefly, only to be followed by coma. If you experience
""the worst headache of your life,"" it is advisable to at least contact a doctor immediately.
Early diagnosis is important because one in five peo ple dies from this condition without medication and/or surgery (which includes preventing the bleeding, stop ping the bleeding, or removing the blood clot).""
coma follows the headache, the chance of recovery is poor.
Fortunately, subarachnoid and other brain hemorrhages are not common."
2,"One of the main characteristics of a brain tumor is growth. Headaches will worsen as the tumor grows; therefore, if you have been having the same type of headache for more than two years, it is most likely not a brain tumor. If your headache seems to be words ening over time, look for other symptoms, such as weakness, visual changes or loss of sensation in a part of the body. Brain tumors usually enlarge to a deadly size within weeks, months, or as long as two years.
The brain sits in clear fluid (spinal fluid) that also surrounds the spinal nerves going down the back from the brain In a healthy person with a normal sleeping schedule aie (sleeping at night, awake during the day), spinal fluid pressure  is usually highest in the brain and spinal canal around two A.M. Therefore headaches caused by a brain tumor, which increases pressure, will usually get Worse around two A.M.
If you experience a headache that becomes progressively worse and/or seizures, or if your headaches are not responding to treatment, you need medical evaluation as soon as possible."
3,"Meningitis is an infection of the lining of the brain (also called the meninges and spinal cord. Outbreaks of meningitis occur all over the world; many result in death.Everyone is at risk of getting meningitis. The disease is not common, but it can be contagious.Meningitis starts like a flu, with high fever, body aches, an oversensitivity to light, and a severe headache.The telltale sign of meningitis, however, is a stiff neck, except in babies (see Tip 221). If your neck is stiff or if you find you have difficulty touching your chin to your chest, accompanied by fever and a headache, seek medical evaluation. Meningitis must be diagnosed early because it is a rapidly advancing disease since death occur as early as thirty-six to forty-eight hours onset of symptoms. Any delay in seeking treatment result in a fatality.Meningitis is often treatable with antibiotics. If are exposed to someone diagnosed with meningitis, medical advice about preventive measures."
4,"The best way to protect yourself against carbon monoxide poisoning is to be aware. Have a heat and air company test the air inside your home for carbon monoxide, and test the heating system for proper exhaust. Do not use kerosene heaters or charcoal grills without proper ventilation. Do not leave your car running in an enclosed area. If any of the symptoms of carbon monoxide poisoning occur while you are in the car, have the exhaust system checked and make sure there are no holes in the floorboard. Inexpensive carbon monoxide monitors are sold at most hardware or department stores that will sound an alarm when levels of carbon monoxide get too high. You can also have Your blood tested by a doctor for the presence of carboxyhemoglobin, which will confirm a diagnosis of carbon monoxide levels of carboxyhemoglobin tobacco smoke. Also, the test may be negative if it is can be altered by exposure to performed after you have been away from the carbon If you develop any of the red light warning signals of carbon monoxide poisoning, get out of the enclosed area into fresh air immediately. Go to an emergency room for evaluation and treatment."
5,"Temporal arteritis is a relatively rare disease (usually occurring in senior citizens) that causes inflammation of the walls of arteries, especially those of the face and scalp. This condition irritates the walls of the temporal arteries running along the side of your head. These arteries become thickened and inflamed, which may cause headaches and scalp pain, tenderness around the temples, visual disturbances, and sometimes cramping of the jaw muscles while chewing. If the inflammation of the arteries becomes severe enough, blockage of the arteries (stroke) can occur. Blockage of the artery to the eye may result in blurry vision or even vision loss. A stroke can be prevented if diagnosed early and treated.
Immediate treatment may prevent complications, whi long-term treatment may be necessary to control the all ment. The cause of this disease is unknown."
6,"Dizziness may mean lightheadedness (see Tip 7), or feeling as though you are spinning on a carousel, called vertigo. The balance system consists of multiple factors.
To feel balanced, you need to have a normally functioning middle-ear apparatus, and a normal cerebellum (the small area of the brain in the back of the skull respon sible for coordination) (see Figure 1). A breakdown in any of these systems can cause you to feel dizzy, which most often occurs with change in body position. Also, a strained neck sometimes causes vertigo. 
Middle-ear disease can be sporadic, with a sudden, quite severe onset. It can cause vertigo, accompanied by nausea and vomiting. If the attack occurs when you are driving, you could have a serious auto accident.
If you are having vertigo, do not drive, and avoid climbing stairs alone until medical treatment has stabilized the problem. If you experience dizziness with nausea and vomiting, you need medical evaluation as soon as possible."
7,"A constant and uninterrupted flow of blood is required by all organs. The brain is the first organ to fail without nutrition and oxygen from the blood. Even a slight change in blood flow to the brain will produce symptoms such as dizziness or fainting.
When you sit up from lying down or when you stand from a sitting position, your blood vessels and heart automatically adjust by narrowing the vessels below the heart and widening the vessels above the heart that sup Ply the brain, assuring adequate blood pressure and blood flow to the brain. If there is not enough blood or and in your circulation, from bleeding or dehydration, the automatic adjustments will not provide adequate Blood pressure and blood flow to the brain. You will feel dizzy or faint.
It is important to know, however, that heart irregularities can also cause these symptoms. Also, some medications, including water pills (diuretics), certain blood pressure pills, some drugs for psychiatric disorders, and
medications for shrinking an enlarged prostate gland, can affect the blood vessels and heart so that they will not adjust properly and prevent the automatic changes from providing adequate blood pressure and blood flow to the brain.
It is important to seek immediate medical evaluation when you begin to get dizzy or faint. If internal hemorrhage, dehydration, or heart irregularities are causing the problem, emergency therapy could save your life.
Adjustment in medication that causes these symptoms can sometimes help. The dizziness is particularly dangerous in seniors, who are more subject to serious injuries when they fall."
8,"Hypoglycemia means you have a very low blood sugar level (numerically, in the forties or lower these levels you become weak, shake, sweat profusely develop a rapid heart rate, sometimes act ""weird,""
become dizzy, faint (syncopal episode), and/or have seizures followed by unconsciousness. If left untreated, the condition can be fatal.
Hypoglycemia usually occurs when diabetics take too much insulin or too many oral agents for diabetes or do not have adequate input of appropriate foods. A rare cause of very low sugar levels in non-diabetics is a small hormone-producing tumor (insulinoma) in the pancreas, which overproduces insulin. Sudden floods of insulin pass into the bloodstream, causing hypo-glycemia, with mental confusion, seizures, and unconsciousness. Occasionally people with hypoglycemia act
""weird"" and are misdiagnosed as having episodes of mental illness.
Most of these tumors are benign; that is, they are noncancerous. Therefore a complete cure can be obtained by removing the tumor.
Many people think they have hypoglycemia when they actually have minor changes in their circulation or a nervous disorder. They often are misdiagnosed, based on a mild drop in blood sugar, which is insignificant. Although in the general population hypoglycemia is a rare ailment that can be life-threatening, in diabetics it is much more common. Immediate attempts to Bet sugar into the body by giving fruit juice, putting Sugar under the tongue, and/or by giving intravenuous sugar water can be lifesaving. Do not attempt to give the victim solid foods. Emergency evaluation and treatment is always necessary."
9,"Anyone with a head injury of any significance should be aroused from sleep every hour for the first six hours (then recheck every four hours for the next eighteen hours) after the head injury to make certain they have not gone into an unconscious state while sleeping. Also, they should not drink alcoholic beverages or take a sedative or strong pain medication for twenty-four hours.
Note the following three categories of symptoms fol lowing a head injury. All are definite warning signs requiring immediate medical evaluation.
1. Someone who develops symptoms of nausea.
vomiting, drowsiness, slurred speech, men fusion, or loss of consciousness even for a short
period of time following a head injury needs immediate medical evaluation and close observation. Any loss of consciousness after a blow to the head indicates a concussion, which is caused by the movement of the brain against the inside of the skull. These symptoms may be a result of any thing from mild injury with temporary loss of brain function to a more serious injury with permanent brain damage.
2. Someone who experiences prolonged unconsciousness after a head injury has sustained a more serious injury to the brain, which may include hemorrhage into the brain, blood com pressing the brain, brain swelling, or spinal cord injury. These are real medical emergencies. The unconscious person needs special treatment until emergency care arrives. Some tips to prevent further damage to the unconscious person are as follows:
a. Never move the person's head or neck! Keep the head and neck immobilized until medical personnel arrive. If the person has sustained spinal cord damage, moving the head may worsen the damage or may even be fatal.
In unusual circumstances when someone is vomiting, you may need to gently turn his or her whole body to the side to stop vomit from getting into the lungs. In this situation the head should be moved only as the shoulders are turned. This maneuver is called a ""log roll.""
b. Watch the airway of the unconscious person, because he or she can develop airway obstruction and even stop breathing. Open the mouth 
of the injured person and look for food or vomit that may be blocking the airway. This material may be removed very carefully with your fingers. If the person is still not breathing, administer CPR (see Appendix A).
3. Someone who appears well shortly after a head injury may still be in danger. He or she may develop symptoms hours later. When this occurs, failure to obtain emergency treatment can be fatal. Be on the alert for the person who becomes nauseated and vomits, becomes very drowsy, or con fused. Unequal pupils and weakness in an arm or leg are important observations, even if the mental status has not changed. These symptoms may indicate complications of the head injury and constitute a true emergency.
These red light warning signs may indicate bleeding in the brain or around the brain, requiring emergency medical intervention. As mentioned earlier, anyone with a head injury of any significance should be aroused from sleep every hour for the first six hours (and every four hours for the next eighteen hours) after the head injury. People over the age of 65 are much more susceptible to serious complications from even a minor head injury.
"
10,"If you observe someone acting combative or abusive after a head injury, get that person to a doctor as soon as possible, because he or she may have a significant brain injury. A helper who does not realize that this behavior is due to brain injury may think the person is drunk, taking illegal drugs, or just rude. It is very important that combative behavior be recognized as a possible red light warning signal. It may be the only indicator of brain damage that is getting worse."
